"internal_id","Award ID","Recipient Name","Period of Performance Start Date","Period of Performance Current End Date","Award Amount","Description","Awarding Agency","Awarding Sub Agency","awarding_agency_id","agency_slug","generated_internal_id","search_company"
350874949,"ZV12","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,147094.2,"CATALYST 3750","Department of Defense","Department of the Air Force",1173,"department-of-defense","CONT_AWD_ZV12_9700_FA877104D0008_9700","Lockheed Martin"
350874919,"ZV11","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,9464.48,"CISCO VPN ASA 5505 BUNDLE","Department of Defense","Department of the Air Force",1173,"department-of-defense","CONT_AWD_ZV11_9700_FA877104D0008_9700","Lockheed Martin"
350874884,"ZV10","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,235893.52,"PRODUCT#: A7991A","Department of Defense","Department of the Air Force",1173,"department-of-defense","CONT_AWD_ZV10_9700_FA877104D0008_9700","Lockheed Martin"
350874850,"ZV09","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,114803.6,"PRODUCT#: A7988A","Department of Defense","Department of the Air Force",1173,"department-of-defense","CONT_AWD_ZV09_9700_FA877104D0008_9700","Lockheed Martin"
350874783,"ZV07","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,30546.04,"BATTERY PACK","Department of Defense","Department of the Air Force",1173,"department-of-defense","CONT_AWD_ZV07_9700_FA877104D0008_9700","Lockheed Martin"
350874747,"ZV06","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,10268.4,"FOUNDRY PART # FES9604","Department of Defense","Department of the Air Force",1173,"department-of-defense","CONT_AWD_ZV06_9700_FA877104D0008_9700","Lockheed Martin"
350874693,"ZV05","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,32388,"FES9604","Department of Defense","Department of the Air Force",1173,"department-of-defense","CONT_AWD_ZV05_9700_FA877104D0008_9700","Lockheed Martin"
350874626,"ZV04","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,64510.5,"SX-FI424P","Department of Defense","Department of the Air Force",1173,"department-of-defense","CONT_AWD_ZV04_9700_FA877104D0008_9700","Lockheed Martin"
350874551,"ZV03","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,77356.53,"GOLD-FSX1600-5","Department of Defense","Department of the Air Force",1173,"department-of-defense","CONT_AWD_ZV03_9700_FA877104D0008_9700","Lockheed Martin"
350843839,"ZB06","LOCKHEED MARTIN CORPORATION",NA,NA,264376,"CAMERA","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_ZB06_9700_SPM4A109G0002_9700","Lockheed Martin"
